"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"FAM86DP","FAM86DP",2.42132081916725e-57,2.10682899469859e-56,-212.77360327208,-350.248005255778,7,2,1713.00590429469,0,0,FALSE
"KIAA1522","KIAA1522",5.31350357291091e-11,1.33022924051549e-10,-196.689205726638,-225.137067098722,7,2,5046.03443973619,0,0,FALSE
"LINC00960","LINC00960",2.48017060737147e-05,4.6287419396085e-05,-88.3721299271607,-102.797621287929,7,2,122.230692592149,0,0,FALSE
"ZNF717","ZNF717",3.30940928475685e-06,6.51516863911787e-06,-129.720071815073,-146.360612887829,7,2,1388.53020943827,0,0,FALSE
"ROBO2","ROBO2",8.39011620006805e-156,2.31613735494365e-154,-178.119235905523,-543.767379937768,7,2,1339.33329894699,0,0,FALSE
"ROBO1","ROBO1",3.82360820384872e-121,7.71798691925332e-120,-265.191873432893,-550.6652653344,7,2,23741.644290471,0,0,FALSE
"ANKRD65","ANKRD65",1.38385293887415e-26,6.07969441316339e-26,-237.582410884185,-303.137191137437,7,2,230.42546980829,0,0,FALSE
"YARS","YARS",6.98431600876735e-35,3.83329465403706e-34,-253.112424724404,-338.156899975597,7,2,31002.8631976565,0,0,FALSE
"LOC101927374","LOC101927374",6.02959488336449e-18,2.00270541202409e-17,-172.995174223997,-218.107126598784,7,2,4833.04661428076,0,0,FALSE
"GBE1","GBE1",1.25812189409156e-18,4.28061029846189e-18,-178.400813417322,-225.131569610714,7,2,2967.79162240453,0,0,FALSE
"S100PBP","S100PBP",2.64444903043889e-69,2.80755522622757e-68,-240.773861078363,-406.065717040413,7,2,9230.57914195656,0,0,FALSE
"CYP51P1","CYP51P1",4.79137264593669e-17,1.53765346752152e-16,-97.7872232835094,-140.755049832418,7,2,86.1917312410847,0,0,FALSE
"LINC00971","LINC00971",1.75924282141573e-07,3.71327528363792e-07,-67.0972923446599,-86.9207967975705,7,2,23.4749541325748,0,0,FALSE
"CADM2","CADM2",1.39446412599485e-17,4.56387553770723e-17,-170.607742468457,-214.852818617391,7,2,1324.75564195715,0,0,FALSE
"CADM2-AS1","CADM2-AS1",5.78023929311634e-09,1.32017705397358e-08,-76.7479335912487,-100.229574188692,7,2,42.9733718147382,0,0,FALSE
"FNDC5","FNDC5",0,0,-623.419738735986,-1537.26858793717,7,2,582.910579286962,0,0,FALSE
"VGLL3","VGLL3",1.21402687494531e-167,3.68421941410394e-166,-444.000925531942,-837.018606450567,7,2,4094.18858252806,0,0,FALSE
"CHMP2B","CHMP2B",1.0254844826433e-07,2.19043031267356e-07,-183.673655180575,-204.078107570255,7,2,8851.1265164601,0,0,FALSE
