"","Gene","p","padj","loglik_full","loglik_red","df_full","df_red","mean","converge_impulse","converge_const","allZero"
"Module_29265","Module_29265",1.41923388386277e-07,7.75302244208942e-06,-45.9351590705036,-65.9899822853666,7,2,35.3414846191628,0,0,FALSE
"Module_29266","Module_29266",1.99762663299538e-11,3.25613141178247e-09,-45.3149213265544,-74.7926062891987,7,2,37.2335499415897,0,0,FALSE
"Module_29267","Module_29267",1.90385426862643e-11,3.11589742720197e-09,-47.0492378289187,-76.5774874184087,7,2,39.3296316079841,0,0,FALSE
"Module_25082","Module_25082",4.66773982057855e-10,5.30869697503709e-08,-42.3864173607649,-68.5396576235994,7,2,23.1026009286789,0,0,FALSE
"Module_25083","Module_25083",2.7271014336415e-09,2.4291113013239e-07,-50.394732823018,-74.6757356504893,7,2,54.4540096468422,0,0,FALSE
"Module_22388","Module_22388",7.76290708645563e-05,0.00175684318273069,-39.3244677856987,-52.480382419127,7,2,12.8177001991401,0,0,FALSE
"Module_33488","Module_33488",6.7639556035354e-12,1.2666214723439e-09,-43.6776073047298,-74.2931839205612,7,2,23.2676083744246,0,0,FALSE
"Module_7702","Module_7702",7.17329338387813e-05,0.00164466950414759,-38.4059721976503,-51.6501835707347,7,2,16.4314127759651,0,0,FALSE
"Module_7703","Module_7703",2.4120731181438e-14,7.70733934996727e-12,-45.2431705092782,-81.7512928537065,7,2,35.4849377696097,0,0,FALSE
"Module_7704","Module_7704",1.16112529224734e-09,1.16000162260968e-07,-51.3794119777866,-76.5670782682652,7,2,55.288289151867,0,0,FALSE
"Module_7705","Module_7705",3.12485841074475e-15,1.12330289709816e-12,-54.9665500742872,-93.6010409698866,7,2,78.5573753752791,0,0,FALSE
"Module_3833","Module_3833",7.02100937700763e-05,0.00162176051937868,-39.721261780621,-52.9894475562969,7,2,15.7440414185083,0,0,FALSE
"Module_33507","Module_33507",2.7270621665756e-07,1.38105974702516e-05,-62.8528924035214,-82.2036487365437,7,2,156.86885301432,0,0,FALSE
"Module_5657","Module_5657",6.19205462587708e-10,6.81142927028517e-08,-47.2702891930357,-73.1243284626855,7,2,47.6548017721369,0,0,FALSE
"Module_27646","Module_27646",2.99314386225725e-06,0.000111891332440426,-48.4278680775856,-65.1781419354103,7,2,46.3358176909606,0,0,FALSE
"Module_27647","Module_27647",0.000140129705165544,0.00286529307245809,-36.0554009487872,-48.5489948497019,7,2,9.34268346457723,0,0,FALSE
"Module_14590","Module_14590",1.3496818698504e-05,0.000401622629431243,-43.8696776639179,-58.9674958340931,7,2,32.251347407845,0,0,FALSE
"Module_14591","Module_14591",2.35273777116291e-07,1.20975192087854e-05,-40.2723127009775,-59.7823986088225,7,2,23.2667872684134,0,0,FALSE
"Module_208","Module_208",0.000199085053229673,0.00380596549291541,-41.3154303875374,-53.4133388534111,7,2,22.7124395575535,0,0,FALSE
"Module_7712","Module_7712",0.000189755089612784,0.0036610067184581,-43.0949827027088,-55.2470627740643,7,2,28.3501063221533,0,0,FALSE
