,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,24hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38050,16.3161728488241,-2.0609346982198,0.67433142744263,-3.05626375154395,0.0022411401708482,0.0385116371596311,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38054,45.1284766952621,1.39186887391931,0.422131160363854,3.29724266912585,0.000976391007431441,0.0216154546573483,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_38056,25.5263015676171,-2.2115225149568,0.542221970078396,-4.07862948570132,4.53019684557501e-05,0.00239000474948295,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_8996,35.8420947846789,-2.16095824726,0.459666387682265,-4.70114479798275,2.5870697505527e-06,0.000274257372483693,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34791,64.7076029137349,1.29593653907621,0.368225028790652,3.51941459094295,0.000432500265967625,0.0119797264415754,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34793,35.0733881092311,1.64780860076969,0.475502383624366,3.46540555319575,0.000529432447415971,0.013804303982269,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_34796,15.5645836109222,2.84527578061688,0.808973007666257,3.51714550875435,0.000436214581958325,0.0120258292599469,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32528,25.900483265336,-2.94282658345459,0.576244509018552,-5.10690607441405,3.27476420886886e-07,5.96637630675468e-05,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32529,32.5566072962755,-2.78562228769244,0.512236901382846,-5.43815230837979,5.38359447596248e-08,1.44877960333401e-05,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_32530,31.3725401470463,-1.74972440845812,0.479118265676102,-3.65196765351663,0.000260238670154663,0.00828810676054391,6hrs_72hrs.H3K27ac.DESeq2_results.csv
Module_10229,26.2100301397866,-1.87795788724447,0.558509704405061,-3.36244450621484,0.000772556524785131,0.0180568928617707,6hrs_72hrs.H3K27ac.DESeq2_results.csv
