Module,3hrs.ATACSeq_REPLICANT.1,3hrs.ATACSeq_REPLICANT.2,48hrs.ATACSeq_REPLICANT.1,48hrs.ATACSeq_REPLICANT.2
Module_12933,9,6,11,25
Module_17381,26,14,20,38
Module_33356,22,24,33,42
Module_48,10,12,5,13
Module_49,10,7,7,21
Module_12934,10,6,24,21
Module_50,18,18,29,17
Module_51,6,6,14,10
Module_33357,22,19,36,30
Module_27488,0,4,4,4
Module_52,59,59,41,38
Module_53,15,14,31,20
Module_17382,26,11,29,12
Module_27489,10,4,4,7
Module_54,25,25,14,20
Module_55,45,42,66,51
Module_17383,97,97,82,99
Module_56,48,51,70,63
Module_17384,100,102,81,102
Module_57,45,48,68,60
Module_17385,96,101,79,100
Module_58,46,48,68,59
Module_17386,95,100,76,100
Module_27490,96,71,71,56
Module_17387,41,38,35,30
Module_59,61,35,30,27
Module_17388,165,130,156,187
Module_17389,87,83,76,91
Module_60,14,20,16,12
Module_17390,86,83,76,91
Module_61,14,19,15,12
Module_17391,82,83,75,94
Module_62,13,19,14,11
Module_17392,88,74,77,97
Module_63,18,14,21,10
Module_64,8,4,0,2
Module_17393,49,56,54,69
Module_17394,205,159,138,159
Module_17395,54,49,19,18
Module_17396,184,141,157,186
Module_65,33,23,7,8
Module_66,4,0,2,11
Module_17397,37,31,18,39
Module_22277,14,2,16,11
Module_22278,20,12,30,34
Module_3796,26,27,8,21
Module_67,37,15,39,28
Module_5545,48,57,95,54
Module_17398,6,13,9,7
Module_68,77,62,57,82
Module_69,38,30,39,11
Module_70,12,14,12,16
Module_17399,42,27,65,33
Module_71,24,23,18,21
Module_27491,120,122,116,64
Module_72,34,30,22,40
Module_14432,8,2,9,0
Module_29208,42,43,26,16
Module_22279,8,6,8,7
Module_5546,18,20,66,48
Module_12935,9,5,19,11
Module_12936,29,20,32,11
Module_27492,12,14,20,28
Module_73,24,22,35,32
Module_27493,12,14,20,27
Module_74,31,30,43,34
Module_27494,16,16,13,19
Module_12937,67,38,83,48
Module_12938,34,34,14,8
Module_75,60,45,52,45
Module_17400,11,4,23,7
Module_5547,24,22,8,6
Module_17401,7,12,20,39
Module_5548,68,68,43,50
Module_17402,6,6,10,11
Module_17403,4,8,12,10
Module_76,26,12,38,36
Module_27495,10,8,12,14
Module_77,32,38,10,18
Module_14433,5,2,8,11
Module_78,45,48,47,43
Module_14434,22,4,10,1
Module_79,14,13,28,29
Module_80,46,46,46,30
Module_5549,9,8,15,21
Module_14435,11,13,16,12
Module_14436,32,18,27,24
Module_12939,7,19,34,17
Module_81,23,12,17,27
Module_14437,16,2,10,12
Module_82,30,10,14,25
Module_17404,10,4,10,6
Module_12940,34,13,21,6
Module_22280,9,7,8,4
Module_17405,16,14,30,51
Module_12941,72,46,68,70
Module_12942,16,30,31,30
Module_29209,63,51,52,97
